#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 08 00 50 219  5.3  5.9  1.14  6.25  4.77 999 1014.3   9.6   8.0 999.0 99.0 99.00
2012 01 08 01 50 233  4.4  4.9  1.14  7.14  5.06 999 1015.0   9.5   8.0 999.0 99.0 99.00
2012 01 08 02 50 269  3.2  3.7  1.02  5.88  5.04 999 1015.9   9.3   8.0 999.0 99.0 99.00
2012 01 08 03 50 292  3.9  4.5  1.02  6.67  5.15 999 1016.7   9.7   7.9 999.0 99.0 99.00
2012 01 08 04 50 320  4.4  5.0  0.95  6.67  5.18 999 1017.2   9.8   7.7 999.0 99.0 99.00
2012 01 08 05 50 335  6.9  8.6  0.82  6.67  5.05 999 1018.1  10.0   7.6 999.0 99.0 99.00
2012 01 08 06 50 335  5.9  7.5  0.88  6.67  4.34 999 1019.2   9.1   7.6 999.0 99.0 99.00
2012 01 08 07 50 332  6.8  8.3  0.92  6.67  4.36 999 1020.3   8.8   7.5 999.0 99.0 99.00
2012 01 08 08 50 335  5.5  6.3  0.87  7.14  4.33 999 1020.7   8.2   7.5 999.0 99.0 99.00
2012 01 08 09 50 344  5.9  7.2  0.80  6.67  4.21 999 1021.2   8.0   7.5 999.0 99.0 99.00
2012 01 08 10 50 344  5.5  7.0  0.72  6.25  3.93 999 1022.3   7.9   7.6 999.0 99.0 99.00
2012 01 08 11 50 343  6.1  7.2  0.74  6.67  3.92 999 1022.9   7.6   7.8 999.0 99.0 99.00
2012 01 08 12 50 344  5.7  6.6  0.68  6.25  3.71 999 1023.5   7.5   7.9 999.0 99.0 99.00
2012 01 08 13 50 341  6.1  7.1  0.65  3.57  3.63 999 1024.4   7.6   8.0 999.0 99.0 99.00
2012 01 08 14 50 338  6.1  7.1  0.66  3.23  3.69 999 1025.1   7.7   8.1 999.0 99.0 99.00
2012 01 08 15 50 332  6.7  7.8  0.68  6.67  3.43 999 1025.2   7.6   8.2 999.0 99.0 99.00
2012 01 08 16 50 327  6.6  8.1  0.66  3.70  3.34 999 1025.0   7.4   8.3 999.0 99.0 99.00
2012 01 08 17 50 332  7.2  8.2  0.67  3.45  3.36 999 1024.5   7.6   8.3 999.0 99.0 99.00
2012 01 08 18 50 339  6.1  7.2  0.64  3.45  3.32 999 1024.3   7.8   8.3 999.0 99.0 99.00
2012 01 08 19 50 349  5.0  5.7  0.67  3.45  3.48 999 1024.5   7.9   8.4 999.0 99.0 99.00
2012 01 08 20 50 344  5.0  5.9  0.57  3.45  3.59 999 1024.9   8.0   8.4 999.0 99.0 99.00
2012 01 08 21 50 348  6.2  7.3  0.59  3.33  3.68 999 1025.5   8.0   8.5 999.0 99.0 99.00
2012 01 08 22 50 346  6.8  8.0  0.68  3.57  3.73 999 1026.0   8.0   8.6 999.0 99.0 99.00
2012 01 08 23 50 346  6.4  7.9  0.67  3.57  3.71 999 1026.5   8.1   8.6 999.0 99.0 99.00
2012 01 09 00 50 358  5.5  6.7  0.73  4.00  3.65 999 1027.1   8.0   8.6 999.0 99.0 99.00
2012 01 09 01 50 351  5.4  6.4  0.65  3.70  3.60 999 1027.5   7.9   8.6 999.0 99.0 99.00
2012 01 09 02 50 351  6.6  7.7  0.67  3.70  3.42 999 1027.6   7.4   8.6 999.0 99.0 99.00
2012 01 09 03 50 354  6.4  7.2  0.64  3.33  3.17 999 1027.7   7.1   8.5 999.0 99.0 99.00
2012 01 09 04 50   7  6.6  7.7  0.59  3.57  3.20 999 1027.2   6.7   8.4 999.0 99.0 99.00
2012 01 09 05 50  14  6.3  7.3  0.66  3.45  3.35 999 1027.3   6.4   8.4 999.0 99.0 99.00
2012 01 09 06 50  23  6.6  8.1  0.71  3.57  3.37 999 1027.3   6.2   8.5 999.0 99.0 99.00
2012 01 09 07 50  29  7.3  8.4  0.72  3.85  3.39 999 1027.3   6.0   8.5 999.0 99.0 99.00
2012 01 09 08 50  27  7.4  9.1  0.84  4.00  3.53 999 1027.2   5.6   8.6 999.0 99.0 99.00
2012 01 09 09 50  33  8.2  9.5  0.97  4.55  3.78 999 1026.9   5.1   8.7 999.0 99.0 99.00
2012 01 09 10 50  28  7.2  8.7  0.99  4.55  3.84 999 1027.4   4.7   8.7 999.0 99.0 99.00
