YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 09 18 00  14  4.2  5.4  0.81  4.35  3.91 999 1029.7   5.3   7.8   1.5 99.0 99.00
2005 01 09 19 00  34  5.6  6.6  0.82  4.76  3.95 999 1028.7   5.2   7.7   1.9 99.0 99.00
2005 01 09 20 00  40  4.9  5.9  0.96  5.56  4.33 999 1028.6   5.4   7.7   1.9 99.0 99.00
2005 01 09 21 00  45  4.0  5.2  1.03  6.25  4.66 999 1028.7   5.5   7.7   1.9 99.0 99.00
2005 01 09 22 00  51  3.2  4.1  1.04  6.25  4.86 999 1028.3   5.5   7.7   2.0 99.0 99.00
2005 01 09 23 00  65  3.0  4.0  1.00  6.25  4.95 999 1028.3   5.6   7.8   2.0 99.0 99.00
2005 01 10 00 00  82  2.4  3.3  0.93  6.67  4.84 999 1027.9   5.8   7.8   1.9 99.0 99.00
2005 01 10 01 00 111  2.3  3.6  0.87  5.88  4.75 999 1027.3   6.0   7.8   1.9 99.0 99.00
2005 01 10 02 00 139  0.6  1.4  0.80  5.56  4.86 999 1027.3   6.2   7.8   1.9 99.0 99.00
2005 01 10 03 00 221  1.1  1.6  0.76  5.88  4.86 999 1027.2   6.3   7.7   2.0 99.0 99.00
2005 01 10 04 00 301  1.3  1.8  0.71  5.88  4.91 999 1026.5   6.2   7.7   2.4 99.0 99.00
2005 01 10 05 00 308  1.1  1.5  0.70  5.88  5.01 999 1026.0   6.1   7.5   2.3 99.0 99.00
2005 01 10 06 00 262  0.4  0.8  0.68  5.88  4.86 999 1025.2   5.9   7.5   1.9 99.0 99.00
2005 01 10 07 00 168  0.5  1.2  0.74  6.25  5.01 999 1024.6   5.9   7.5   2.2 99.0 99.00
2005 01 10 08 00 155  2.0  2.5  0.76  6.67  5.31 999 1023.8   6.2   7.5   2.7 99.0 99.00
2005 01 10 09 00 155  4.1  4.8  0.73  7.14  5.29 999 1022.3   6.7   7.6   3.6 99.0 99.00
